file,block_id,description,runnable,correct_impl,redundant,irrelevant,notes
causal_trace_frozen_mlp_attn.ipynb,befc82ae,Colab detection,Y,Y,Y,N,Duplicated from causal_trace.ipynb
causal_trace_frozen_mlp_attn.ipynb,b6f7e67a,Autoreload extension,Y,NA,N,N,
causal_trace_frozen_mlp_attn.ipynb,90ba3338,Import modules,Y,Y,N,N,
causal_trace_frozen_mlp_attn.ipynb,8ce71fd8,Load model and tokenizer,Y,Y,Y,N,Loads same model as causal_trace.ipynb
causal_trace_frozen_mlp_attn.ipynb,b0089c69,Load knowns dataset and compute noise level,Y,Y,Y,N,Same computation as causal_trace.ipynb
causal_trace_frozen_mlp_attn.ipynb,a36b314e,Define trace_with_repatch for three-way intervention,Y,Y,N,N,
causal_trace_frozen_mlp_attn.ipynb,2d9b5a7c,Define calculate_hidden_flow_3 with MLP/Attn disable options,Y,Y,N,N,
causal_trace_frozen_mlp_attn.ipynb,427f3989,Demo causal trace with MLP disabled,Y,Y,N,N,
causal_trace_frozen_mlp_attn.ipynb,2926aeac,Define comparison plotting functions,Y,Y,N,N,
causal_trace_frozen_mlp_attn.ipynb,1631379e,Space Needle comparison example,Y,Y,N,N,
causal_trace_frozen_mlp_attn.ipynb,e0d802d7,Average indirect effects over 1000 samples,Y,Y,N,N,Computationally expensive - runs over 1000 samples
causal_trace_frozen_mlp_attn.ipynb,fda42ea1,Empty cell,Y,NA,N,Y,Empty placeholder
experiments/causal_trace.py,main(),Command-line entry point for batch causal tracing,Y,Y,N,N,
experiments/causal_trace.py,trace_with_patch(),Core causal intervention with patching,Y,Y,N,N,
experiments/causal_trace.py,trace_with_repatch(),Extended causal intervention with unpatch,Y,Y,N,N,
experiments/causal_trace.py,calculate_hidden_flow(),Calculate hidden flow across all layers/tokens,Y,Y,N,N,
experiments/causal_trace.py,trace_important_states(),Scan all token/layer positions,Y,Y,N,N,
experiments/causal_trace.py,trace_important_window(),Window-based scanning for MLP/Attn contributions,Y,Y,N,N,
experiments/causal_trace.py,ModelAndTokenizer,Model and tokenizer wrapper class,Y,Y,N,N,
experiments/causal_trace.py,layername(),Generate layer names for different model architectures,Y,Y,N,N,
experiments/causal_trace.py,plot_trace_heatmap(),Plot causal trace results as heatmap,Y,Y,N,N,
experiments/causal_trace.py,make_inputs(),Utility function: make_inputs,Y,Y,N,N,
experiments/causal_trace.py,decode_tokens(),Utility function: decode_tokens,Y,Y,N,N,
experiments/causal_trace.py,find_token_range(),Utility function: find_token_range,Y,Y,N,N,
experiments/causal_trace.py,predict_token(),Utility function: predict_token,Y,Y,N,N,
experiments/causal_trace.py,predict_from_input(),Utility function: predict_from_input,Y,Y,N,N,
experiments/causal_trace.py,collect_embedding_std(),Utility function: collect_embedding_std,Y,Y,N,N,
experiments/causal_trace.py,guess_subject(),Utility function: guess_subject,Y,Y,N,N,
experiments/evaluate.py,main(),Main evaluation loop - applies algorithm and computes metrics,Y,Y,N,N,
experiments/evaluate.py,ALG_DICT,Dictionary mapping algorithm names to implementations,Y,Y,N,N,
experiments/evaluate.py,DS_DICT,Dictionary mapping dataset names to classes and eval methods,Y,Y,N,N,
experiments/evaluate.py,__main__ argparse,Command-line argument parsing,Y,Y,N,N,
rome/rome_main.py,apply_rome_to_model(),Main entry point for ROME model editing,Y,Y,N,N,
rome/rome_main.py,execute_rome(),Execute ROME algorithm for a single update,Y,Y,N,N,
rome/rome_main.py,upd_matrix_match_shape(),Handle transposed weight representations,Y,Y,N,N,
rome/rome_main.py,get_context_templates(),Generate and cache context templates,Y,Y,N,N,
rome/compute_u.py,compute_u(),Compute left vector for rank-1 update,Y,Y,N,N,
rome/compute_u.py,get_inv_cov(),Retrieve and compute inverse covariance statistics,Y,Y,N,N,
rome/compute_v.py,compute_v(),Compute right vector via optimization,Y,Y,N,N,
rome/compute_v.py,get_module_input_output_at_word(),Get module input/output at word token,Y,Y,N,N,
rome/compute_v.py,find_fact_lookup_idx(),Find fact lookup index in prompt,Y,Y,N,N,
